experiment,condition,method,target,delta_s,steps,runs,seeds,samples_total,validity_percent_mean,validity_percent_std,validity_percent_ci95,connected_percent_mean,connected_percent_std,connected_percent_ci95,radical_free_percent_mean,radical_free_percent_std,radical_free_percent_ci95,terminal_valence_complete_percent_mean,terminal_valence_complete_percent_std,terminal_valence_complete_percent_ci95,terminal_gate_relaxation_percent_mean,terminal_gate_relaxation_percent_std,terminal_gate_relaxation_percent_ci95,strict_vthr_percent_mean,strict_vthr_percent_std,strict_vthr_percent_ci95,property_mae_mean,property_mae_std,property_mae_ci95,property_hit_percent_mean,property_hit_percent_std,property_hit_percent_ci95,vthr_percent_mean,vthr_percent_std,vthr_percent_ci95,final_capacity_violation_percent_mean,final_capacity_violation_percent_std,final_capacity_violation_percent_ci95,path_capacity_violation_percent_mean,path_capacity_violation_percent_std,path_capacity_violation_percent_ci95,uniqueness_percent_mean,uniqueness_percent_std,uniqueness_percent_ci95,novelty_percent_mean,novelty_percent_std,novelty_percent_ci95,mean_actual_nfe_mean,mean_actual_nfe_std,mean_actual_nfe_ci95,conflict_bin_percent_mean,conflict_bin_percent_std,conflict_bin_percent_ci95,conflict_molecule_percent_mean,conflict_molecule_percent_std,conflict_molecule_percent_ci95,mean_excess_capacity_mean,mean_excess_capacity_std,mean_excess_capacity_ci95,mean_logp_mean,mean_logp_std,mean_logp_ci95
figure3,q50,VaDGM,2.1893000000000002,0.25,,3,3,30000,100.0,0.0,0.0,91.5,0.06999999999999318,0.17390367458259026,99.96999999999998,0.010000000000005116,0.02484338208324231,99.96999999999998,0.010000000000005116,0.02484338208324231,0.03,0.01,0.024843382083229597,23.14333333333333,0.15044378795195665,0.3737532506138832,1.2408413239999991,0.011723880139954424,0.029126083381487505,25.316666666666666,0.1789785834487853,0.44464333333333667,25.316666666666666,0.1789785834487853,0.44464333333333667,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,19.7724,0.013850270755475921,0.034408756833446935,0.13149766522864118,0.00510291565950876,0.012677368346767167,2.4833333333333334,0.09504384952922167,0.23612106685154355,1.111363722697056,0.02097198686411024,0.052101508270956276,2.3557651866666682,0.008517945280517128,0.021161456916792932
figure3,q90,VaDGM,3.9149840000000027,0.25,,3,3,30000,100.0,0.0,0.0,91.75999999999999,0.36999999999999744,0.9192051370794888,99.96666666666665,0.011547005383798423,0.028686666666681345,99.96666666666665,0.011547005383798423,0.028686666666681345,0.03333333333333333,0.011547005383792516,0.02868666666666667,22.05333333333333,0.39803684921541316,0.9888581528263356,1.3133653245333337,0.0043004112885819444,0.010683676075727499,24.153333333333332,0.39627431576287353,0.984479423626744,24.153333333333332,0.39627431576287353,0.984479423626744,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,20.294133333333335,0.017862344004450876,0.04437610370046585,0.16194810858766842,0.006018867048176088,0.014952901378599885,3.206666666666667,0.12423096769056154,0.30863173969059715,1.1107590545616743,0.014695412236107394,0.03650837410521834,3.132375939333335,0.020844246554599644,0.051784158139296106
figure4,delta_s=0.0625,VaDGM,3.349184000000002,0.0625,,3,3,30000,100.0,0.0,0.0,90.46666666666665,0.3329164059239671,0.8270769474144676,99.99666666666667,0.005773502691899211,0.014343333333340673,99.99666666666667,0.005773502691899211,0.014343333333340673,0.0033333333333333335,0.005773502691896258,0.014343333333333335,26.150000000000002,0.16703293088489965,0.41496629224552434,1.1046424674666693,0.009045040901649362,0.022470940707811464,28.903333333333336,0.11015141094572324,0.27365335891314413,28.903333333333336,0.11015141094572324,0.27365335891314413,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,55.269266666666674,0.01790232759540803,0.04447543646318667,0.004402577204520197,0.0006343043166264966,0.0015758264494993902,0.23666666666666666,0.045092497528228956,0.11202501451808783,1.027777777777778,0.02478173808888257,0.06156621880286337,3.0527230720000014,0.01721873132841522,0.04277715213802948
figure4,delta_s=0.125,VaDGM,3.349184000000002,0.125,,3,3,30000,100.0,0.0,0.0,90.85333333333334,0.20256686138984561,0.5032445934908544,99.99000000000001,0.01732050807568943,0.04303000000000163,99.99000000000001,0.01732050807568943,0.04303000000000163,0.01,0.017320508075688773,0.04303,25.873333333333335,0.38175035472587676,0.948396992286339,1.1226478510666669,0.006922266232442152,0.01719725048943986,28.44333333333333,0.2227853974867591,0.5534742752327735,28.44333333333333,0.2227853974867591,0.5534742752327735,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,33.690666666666665,0.012241051153121739,0.03041091108973616,0.031066647492908106,0.0016789981565743482,0.004171199272081468,1.0333333333333334,0.066583281184794,0.16541538948289494,1.0954345607743665,0.028485338564006705,0.07076721497157733,3.010381825333335,0.009944701893120004,0.0247060028834597
figure4,delta_s=0.5,VaDGM,3.349184000000002,0.5,,3,3,30000,100.0,0.0,0.0,92.79333333333334,0.2928025500799692,0.7274205626580644,99.84666666666668,0.07371114795832262,0.18312342125220782,99.84666666666668,0.07371114795832262,0.18312342125220782,0.15333333333333332,0.07371114795831993,0.18312342125220113,23.97666666666667,0.19008769905844466,0.4722421337030904,1.224180309133337,0.003777533994012931,0.00938467203456516,25.87,0.24331050121192885,0.6044655746470047,25.87,0.24331050121192885,0.6044655746470047,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,11.960733333333332,0.007782244748999788,0.019333727976460897,0.7775380247174609,0.022671485786019498,0.05632363837765913,8.853333333333333,0.2138535324312726,0.5312845016038438,1.2114248120163877,0.0028830629548427275,0.00716250345571628,2.915872044333335,0.022097055867530826,0.05489656018315388
table1,q80,Vanilla DGM,3.349184000000002,,128,3,3,30000,84.58666666666666,0.21548395145192342,0.5353350138724231,71.37,0.20999999999999983,0.5217110237478212,53.28333333333333,0.23180451534284993,0.5758808143280278,53.26666666666667,0.23713568549110203,0.5891252440224013,0.0,0.0,0.0,16.58,0.19697715603592186,0.4893578749068342,0.8830256624340884,0.007887426750908292,0.01959503564263009,35.91277861034248,0.5291389538606659,1.314560120588092,30.376666666666665,0.3707200201409873,0.920993910626512,15.443333333333333,0.23544284515213773,0.5849196560877219,,,,100.0,0.0,0.0,100.0,0.0,0.0,128.0,0.0,0.0,,,,,,,,,,2.908152056058937,0.0091062430201639,0.02262298746926744
table1,q80,VaDGM (capacity-only),3.349184000000002,0.25,,3,3,30000,100.0,0.0,0.0,78.67,0.325115364140173,0.807696521246264,28.956666666666667,0.7689169872836297,1.9102498505373007,28.956666666666667,0.7689169872836297,1.9102498505373007,0.0,0.0,0.0,8.143333333333333,0.17953644012660278,0.4460292379928067,1.0097279845333338,0.004454432881235702,0.011066317803263982,31.526666666666667,0.5481179921634869,1.361710470601015,31.526666666666667,0.5481179921634869,1.361710470601015,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,19.462500000000002,0.006392964883369671,0.015882286924222208,6.723354186467485,0.016385149425889534,0.04070625276781838,75.28333333333335,0.1250333288900757,0.31062507627542607,1.2573379066949377,0.008135267311498827,0.02021075541687734,2.8023654786666676,0.013330767221984887,0.033118134355836375
table1,q80,VaDGM,3.349184000000002,0.25,,3,3,30000,100.0,0.0,0.0,91.45,0.1311487704860421,0.3258179014930529,99.96999999999998,0.01999999999999602,0.04968676416644931,99.96999999999998,0.01999999999999602,0.04968676416644931,0.03,0.02,0.049686764166459195,25.46666666666667,0.12503332889007365,0.3106250762754209,1.159833060666666,0.00718560392187734,0.017851470372995185,27.63,0.15524174696259957,0.38567300350599093,27.63,0.15524174696259957,0.38567300350599093,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,20.118166666666667,0.0077835296192234815,0.019336920028650353,0.14928525741683943,0.01439297726479963,0.035757023350465406,2.92,0.2551470164434615,0.6338714816900979,1.1218227737793798,0.024446813838682368,0.06073415369119709,2.9641256186666687,0.002150512835884496,0.0053426012056768165
table2,q80,VaDGM (no terminal atom phase),3.349184000000002,0.25,,3,3,30000,100.0,0.0,0.0,78.71333333333332,0.5885858759206909,1.4622463804290091,30.673333333333332,0.3403429642777031,0.8455270300889941,30.673333333333332,0.3403429642777031,0.8455270300889941,69.32666666666667,0.34034296427769894,0.8455270300889837,8.32,0.22649503305812213,0.5626902646216647,1.0144486396666677,0.008830752249530824,0.021938575221743355,31.043333333333333,0.4465795935030324,1.1094547471969192,31.043333333333333,0.4465795935030324,1.1094547471969192,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,19.462500000000002,0.006392964883369671,0.015882286924222208,6.793753898725613,0.07326834304412741,0.18202334408503948,75.82000000000001,0.8229216244576402,2.044415634095313,1.2557673018958475,0.003574121071072255,0.008879325538036983,2.810654765000001,0.020460831887017455,0.05083162643099023
