experiment,condition,method,target,runs,seeds,samples_total,validity_percent_mean,validity_percent_std,validity_percent_ci95,connected_percent_mean,connected_percent_std,connected_percent_ci95,radical_free_percent_mean,radical_free_percent_std,radical_free_percent_ci95,terminal_valence_complete_percent_mean,terminal_valence_complete_percent_std,terminal_valence_complete_percent_ci95,strict_vthr_percent_mean,strict_vthr_percent_std,strict_vthr_percent_ci95,property_mae_mean,property_mae_std,property_mae_ci95,uniqueness_percent_mean,uniqueness_percent_std,uniqueness_percent_ci95,novelty_percent_mean,novelty_percent_std,novelty_percent_ci95,final_capacity_violation_percent_mean,final_capacity_violation_percent_std,final_capacity_violation_percent_ci95,path_capacity_violation_percent_mean,path_capacity_violation_percent_std,path_capacity_violation_percent_ci95,mean_actual_nfe_mean,mean_actual_nfe_std,mean_actual_nfe_ci95
table1,q80,Vanilla DGM,3.349184000000002,3,3,30000,84.58666666666666,0.21548395145192342,0.5353350138724231,71.37,0.20999999999999983,0.5217110237478212,53.28333333333333,0.23180451534284993,0.5758808143280278,53.26666666666667,0.23713568549110203,0.5891252440224013,16.58,0.19697715603592186,0.4893578749068342,0.8830256624340884,0.007887426750908292,0.01959503564263009,100.0,0.0,0.0,100.0,0.0,0.0,15.443333333333333,0.23544284515213773,0.5849196560877219,,,,128.0,0.0,0.0
table1,q80,VaDGM (capacity-only),3.349184000000002,3,3,30000,100.0,0.0,0.0,78.67,0.325115364140173,0.807696521246264,28.956666666666667,0.7689169872836297,1.9102498505373007,28.956666666666667,0.7689169872836297,1.9102498505373007,8.143333333333333,0.17953644012660278,0.4460292379928067,1.0097279845333338,0.004454432881235702,0.011066317803263982,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.462500000000002,0.006392964883369671,0.015882286924222208
table1,q80,VaDGM,3.349184000000002,3,3,30000,100.0,0.0,0.0,91.45,0.1311487704860421,0.3258179014930529,99.96999999999998,0.01999999999999602,0.04968676416644931,99.96999999999998,0.01999999999999602,0.04968676416644931,25.46666666666667,0.12503332889007365,0.3106250762754209,1.159833060666666,0.00718560392187734,0.017851470372995185,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.118166666666667,0.0077835296192234815,0.019336920028650353
