experiment,condition,method,target,delta_s,runs,seeds,samples_total,conflict_bin_percent_mean,conflict_bin_percent_std,conflict_bin_percent_ci95,conflict_molecule_percent_mean,conflict_molecule_percent_std,conflict_molecule_percent_ci95,path_capacity_violation_percent_mean,path_capacity_violation_percent_std,path_capacity_violation_percent_ci95,strict_vthr_percent_mean,strict_vthr_percent_std,strict_vthr_percent_ci95,mean_actual_nfe_mean,mean_actual_nfe_std,mean_actual_nfe_ci95
figure4,delta_s=0.0625,VaDGM,3.349184000000002,0.0625,3,3,30000,0.004402577204520197,0.0006343043166264966,0.0015758264494993902,0.23666666666666666,0.045092497528228956,0.11202501451808783,0.0,0.0,0.0,26.150000000000002,0.16703293088489965,0.41496629224552434,55.269266666666674,0.01790232759540803,0.04447543646318667
figure4,delta_s=0.125,VaDGM,3.349184000000002,0.125,3,3,30000,0.031066647492908106,0.0016789981565743482,0.004171199272081468,1.0333333333333334,0.066583281184794,0.16541538948289494,0.0,0.0,0.0,25.873333333333335,0.38175035472587676,0.948396992286339,33.690666666666665,0.012241051153121739,0.03041091108973616
table1,q80,VaDGM,3.349184000000002,0.25,3,3,30000,0.14928525741683943,0.01439297726479963,0.035757023350465406,2.92,0.2551470164434615,0.6338714816900979,0.0,0.0,0.0,25.46666666666667,0.12503332889007365,0.3106250762754209,20.118166666666667,0.0077835296192234815,0.019336920028650353
figure4,delta_s=0.5,VaDGM,3.349184000000002,0.5,3,3,30000,0.7775380247174609,0.022671485786019498,0.05632363837765913,8.853333333333333,0.2138535324312726,0.5312845016038438,0.0,0.0,0.0,23.97666666666667,0.19008769905844466,0.4722421337030904,11.960733333333332,0.007782244748999788,0.019333727976460897
