experiment,condition,method,target,runs,seeds,samples_total,mean_logp_mean,mean_logp_std,mean_logp_ci95,property_mae_mean,property_mae_std,property_mae_ci95,property_hit_percent_mean,property_hit_percent_std,property_hit_percent_ci95,strict_vthr_percent_mean,strict_vthr_percent_std,strict_vthr_percent_ci95
figure3,q50,VaDGM,2.1893000000000002,3,3,30000,2.3557651866666682,0.008517945280517128,0.021161456916792932,1.2408413239999991,0.011723880139954424,0.029126083381487505,25.316666666666666,0.1789785834487853,0.44464333333333667,23.14333333333333,0.15044378795195665,0.3737532506138832
table1,q80,VaDGM,3.349184000000002,3,3,30000,2.9641256186666687,0.002150512835884496,0.0053426012056768165,1.159833060666666,0.00718560392187734,0.017851470372995185,27.63,0.15524174696259957,0.38567300350599093,25.46666666666667,0.12503332889007365,0.3106250762754209
figure3,q90,VaDGM,3.9149840000000027,3,3,30000,3.132375939333335,0.020844246554599644,0.051784158139296106,1.3133653245333337,0.0043004112885819444,0.010683676075727499,24.153333333333332,0.39627431576287353,0.984479423626744,22.05333333333333,0.39803684921541316,0.9888581528263356
