experiment,condition,method,target,runs,seeds,samples_total,connected_percent_mean,connected_percent_std,connected_percent_ci95,radical_free_percent_mean,radical_free_percent_std,radical_free_percent_ci95,terminal_valence_complete_percent_mean,terminal_valence_complete_percent_std,terminal_valence_complete_percent_ci95,terminal_gate_relaxation_percent_mean,terminal_gate_relaxation_percent_std,terminal_gate_relaxation_percent_ci95,strict_vthr_percent_mean,strict_vthr_percent_std,strict_vthr_percent_ci95,property_mae_mean,property_mae_std,property_mae_ci95,path_capacity_violation_percent_mean,path_capacity_violation_percent_std,path_capacity_violation_percent_ci95,mean_actual_nfe_mean,mean_actual_nfe_std,mean_actual_nfe_ci95
table1,q80,Vanilla DGM,3.349184000000002,3,3,30000,71.37,0.20999999999999983,0.5217110237478212,53.28333333333333,0.23180451534284993,0.5758808143280278,53.26666666666667,0.23713568549110203,0.5891252440224013,0.0,0.0,0.0,16.58,0.19697715603592186,0.4893578749068342,0.8830256624340884,0.007887426750908292,0.01959503564263009,,,,128.0,0.0,0.0
table1,q80,VaDGM (capacity-only),3.349184000000002,3,3,30000,78.67,0.325115364140173,0.807696521246264,28.956666666666667,0.7689169872836297,1.9102498505373007,28.956666666666667,0.7689169872836297,1.9102498505373007,0.0,0.0,0.0,8.143333333333333,0.17953644012660278,0.4460292379928067,1.0097279845333338,0.004454432881235702,0.011066317803263982,0.0,0.0,0.0,19.462500000000002,0.006392964883369671,0.015882286924222208
table2,q80,VaDGM (no terminal atom phase),3.349184000000002,3,3,30000,78.71333333333332,0.5885858759206909,1.4622463804290091,30.673333333333332,0.3403429642777031,0.8455270300889941,30.673333333333332,0.3403429642777031,0.8455270300889941,69.32666666666667,0.34034296427769894,0.8455270300889837,8.32,0.22649503305812213,0.5626902646216647,1.0144486396666677,0.008830752249530824,0.021938575221743355,0.0,0.0,0.0,19.462500000000002,0.006392964883369671,0.015882286924222208
table1,q80,VaDGM,3.349184000000002,3,3,30000,91.45,0.1311487704860421,0.3258179014930529,99.96999999999998,0.01999999999999602,0.04968676416644931,99.96999999999998,0.01999999999999602,0.04968676416644931,0.03,0.02,0.049686764166459195,25.46666666666667,0.12503332889007365,0.3106250762754209,1.159833060666666,0.00718560392187734,0.017851470372995185,0.0,0.0,0.0,20.118166666666667,0.0077835296192234815,0.019336920028650353
